24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:29:06 | GET | cafeteria-api/categorias
31-03-2026 18:30:20 | POST | cafeteria-api/categorias
31-03-2026 18:30:20 | GET | cafeteria-api/categorias
31-03-2026 18:30:22 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 18:30:22 | DELETE | cafeteria-api/categorias/4
31-03-2026 18:30:22 | GET | cafeteria-api/categorias
31-03-2026 18:30:54 | GET | cafeteria-api/categorias
31-03-2026 18:33:40 | GET | cafeteria-api/categorias
31-03-2026 18:34:00 | GET | cafeteria-api/categorias
31-03-2026 18:34:12 | GET | cafeteria-api/categorias
31-03-2026 18:34:20 | GET | cafeteria-api/categorias
31-03-2026 18:34:22 | GET | cafeteria-api/categorias
31-03-2026 18:36:35 | GET | cafeteria-api/categorias
31-03-2026 18:36:52 | GET | cafeteria-api/produtos
31-03-2026 18:37:08 | GET | cafeteria-api/produtos
31-03-2026 18:37:09 | GET | cafeteria-api/produtos
31-03-2026 18:37:11 | GET | cafeteria-api/produtos
31-03-2026 18:37:12 | GET | cafeteria-api/produtos
31-03-2026 18:37:16 | GET | cafeteria-api/produtos
31-03-2026 18:37:17 | GET | cafeteria-api/produtos
31-03-2026 18:37:22 | GET | cafeteria-api/produtos
31-03-2026 18:37:29 | GET | cafeteria-api/produtos
31-03-2026 18:37:30 | GET | cafeteria-api/produtos
31-03-2026 18:37:31 | GET | cafeteria-api/produtos
31-03-2026 18:37:35 | GET | cafeteria-api/produtos
31-03-2026 18:37:53 | GET | cafeteria-api/produtos
31-03-2026 18:37:58 | GET | cafeteria-api/produtos
31-03-2026 18:38:01 | GET | cafeteria-api/produtos
31-03-2026 18:38:03 | GET | cafeteria-api/produtos
31-03-2026 18:38:47 | GET | cafeteria-api/produtos
31-03-2026 18:38:53 | GET | cafeteria-api/produtos
31-03-2026 18:38:55 | GET | cafeteria-api/produtos
31-03-2026 18:39:00 | GET | cafeteria-api/produtos
31-03-2026 18:39:01 | GET | cafeteria-api/produtos
31-03-2026 18:39:04 | GET | cafeteria-api/produtos
31-03-2026 18:39:13 | GET | cafeteria-api/produtos
31-03-2026 18:39:34 | GET | cafeteria-api/produtos
31-03-2026 18:39:52 | GET | cafeteria-api/produtos
31-03-2026 18:39:54 | GET | cafeteria-api/produtos
31-03-2026 18:39:58 | GET | cafeteria-api/produtos
31-03-2026 18:40:02 | GET | cafeteria-api/produtos
31-03-2026 18:40:21 | GET | cafeteria-api/produtos
31-03-2026 18:40:22 | GET | cafeteria-api/produtos
31-03-2026 18:40:22 | GET | cafeteria-api/produtos
31-03-2026 18:40:22 | GET | cafeteria-api/produtos
31-03-2026 18:44:03 | GET | cafeteria-api/produtos
31-03-2026 18:44:03 | GET | cafeteria-api/produtos
31-03-2026 18:44:03 | GET | cafeteria-api/produtos
31-03-2026 18:45:50 | GET | cafeteria-api/produtos
31-03-2026 18:45:50 | GET | cafeteria-api/produtos
31-03-2026 18:45:50 | GET | cafeteria-api/produtos
31-03-2026 18:45:51 | GET | cafeteria-api/produtos
31-03-2026 18:45:51 | GET | cafeteria-api/produtos
31-03-2026 18:45:51 | GET | cafeteria-api/produtos
31-03-2026 18:45:52 | GET | cafeteria-api/produtos
31-03-2026 18:45:52 | GET | cafeteria-api/produtos
31-03-2026 18:49:52 | GET | Cafeteria-api/produtos
31-03-2026 18:49:54 | GET | Cafeteria-api/produtos
31-03-2026 18:49:54 | GET | Cafeteria-api/produtos
31-03-2026 18:49:54 | GET | Cafeteria-api/produtos
31-03-2026 18:50:59 | GET | Cafeteria-API/produtos
31-03-2026 18:51:04 | GET | Cafeteria-API/produtos
31-03-2026 18:51:04 | GET | Cafeteria-API/produtos
31-03-2026 18:51:27 | GET | Cafeteria-API/produtos
31-03-2026 18:51:29 | GET | Cafeteria-API/produtos
31-03-2026 18:51:31 | GET | Cafeteria-API/categorias
31-03-2026 18:51:32 | GET | Cafeteria-API/produtos
31-03-2026 18:51:33 | GET | Cafeteria-API/categorias
31-03-2026 18:51:33 | GET | Cafeteria-API/produtos
31-03-2026 18:51:34 | GET | Cafeteria-API/categorias
31-03-2026 18:51:35 | GET | Cafeteria-API/produtos
31-03-2026 18:52:43 | GET | Cafeteria-API/produtos
31-03-2026 18:52:44 | GET | Cafeteria-API/produtos
31-03-2026 18:52:44 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:46 | GET | Cafeteria-API/produtos
31-03-2026 18:52:50 | GET | Cafeteria-API/produtos
31-03-2026 18:54:38 | GET | Cafeteria-API/produtos
31-03-2026 18:56:28 | GET | Cafeteria-API/produtos
31-03-2026 18:56:31 | GET | Cafeteria-API/produtos
31-03-2026 18:56:37 | GET | Cafeteria-API/produtos
31-03-2026 18:56:40 | GET | Cafeteria-API/produtos
31-03-2026 18:56:46 | GET | Cafeteria-API/produtos
31-03-2026 18:56:47 | GET | Cafeteria-API/produtos
31-03-2026 18:56:50 | GET | Cafeteria-API/produtos
31-03-2026 18:56:52 | GET | Cafeteria-API/produtos
31-03-2026 18:56:55 | GET | Cafeteria-API/produtos
31-03-2026 18:56:57 | GET | Cafeteria-API/produtos
31-03-2026 18:57:01 | GET | Cafeteria-API/produtos
31-03-2026 18:57:04 | GET | Cafeteria-API/produtos
31-03-2026 18:57:08 | GET | Cafeteria-API/produtos
31-03-2026 18:57:32 | GET | Cafeteria-API/produtos
31-03-2026 18:57:36 | GET | Cafeteria-API/produtos
31-03-2026 18:57:41 | GET | Cafeteria-API/produtos
31-03-2026 18:57:44 | GET | Cafeteria-API/produtos
31-03-2026 18:57:45 | GET | Cafeteria-API/produtos
31-03-2026 18:57:48 | GET | Cafeteria-API/produtos
31-03-2026 18:57:50 | GET | Cafeteria-API/produtos
31-03-2026 18:57:55 | GET | Cafeteria-API/produtos
31-03-2026 18:58:03 | GET | Cafeteria-API/produtos
31-03-2026 18:58:09 | GET | Cafeteria-API/produtos
